pod_name,action,reward,done,cpu_request,memory_request,cpu_usage_node_0,cpu_usage_node_1,cpu_usage_node_2,cpu_usage_node_3,cpu_usage_node_4,cpu_usage_node_5,cpu_usage_node_6,cpu_usage_node_7,cpu_usage_node_8,cpu_usage_node_9
resultant-crew-597cf48c97-cwvz2,4,0.9907,0,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
resultant-crew-597cf48c97-627rn,3,0.9907,0,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
resultant-crew-597cf48c97-6h6dn,1,0.9907,0,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
resultant-crew-597cf48c97-dg77b,5,0.9907,0,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
resultant-crew-597cf48c97-dlg7h,9,0.9907,0,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
resultant-crew-597cf48c97-kn8tt,0,0.9907,0,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
resultant-crew-597cf48c97-p4llm,7,0.9907,0,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
resultant-crew-597cf48c97-swb29,8,0.9907,0,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
resultant-crew-597cf48c97-vjtlq,6,0.9907,1,1,2,0.9844,0.9844,1.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
acute-suitcase-754f9f4946-d6lx8,2,0.9848,0,1,2,0.9844,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9844
acute-suitcase-754f9f4946-vnt2l,4,0.4924,0,1,2,0.9844,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9844
acute-suitcase-754f9f4946-7clsx,7,0.4924,0,1,2,0.9844,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9844
acute-suitcase-754f9f4946-qtgzn,3,0.4924,0,1,2,0.9844,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9844
acute-suitcase-754f9f4946-khvxm,6,0.4924,1,1,2,0.9844,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9844
celeste-attachment-7c6d7bfdfc-w6xjd,5,0.4922,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-qx8wl,2,0.4922,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-4nwkv,1,0.4922,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-b5dpn,8,0.4922,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-gkn7k,7,0.3281,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-lqmb6,6,0.3281,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-ndfbm,0,0.4922,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-ps8qd,3,0.3281,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-px4xk,8,0.3281,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-qfjwx,4,0.3281,0,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
celeste-attachment-7c6d7bfdfc-xfqzm,9,0.4922,1,1,2,0.9688,0.9688,0.9688,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9688
dark-row-6f978d8f9-pg5gz,1,0.3302,0,1,2,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531
dark-row-6f978d8f9-f2t66,2,0.3302,0,1,2,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531
dark-row-6f978d8f9-4xdc9,9,0.3302,0,1,2,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531
dark-row-6f978d8f9-kct4m,5,0.3302,0,1,2,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531,0.9531
weathered-complement-fc4797bf-vx9cm,0,0.3302,0,1,2,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
weathered-complement-fc4797bf-rrd6w,8,0.2477,0,1,2,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
weathered-complement-fc4797bf-wnxzl,7,0.2477,0,1,2,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
weathered-complement-fc4797bf-5tbvx,5,0.2477,0,1,2,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
weathered-complement-fc4797bf-2q2s5,1,0.2477,0,1,2,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
weathered-complement-fc4797bf-w8x72,2,0.2477,0,1,2,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
