name,pod_count,cpu_request,cpu_limit,mem_request,mem_limit,action
grim-admin,14,1000m,1000m,2.0Gi,2Gi,add
progressive-combustion,11,1000m,1000m,2.0Gi,2Gi,add
mild-class,11,1000m,1000m,2.0Gi,2Gi,add
coral-highlight,15,1000m,1000m,2.0Gi,2Gi,add
marked-tenement,9,1000m,1000m,2.0Gi,2Gi,add
black-cyclist,5,1000m,1000m,2.0Gi,2Gi,add
decidable-range,8,1000m,1000m,2.0Gi,2Gi,add
exponential-drawer,13,1000m,1000m,2.0Gi,2Gi,add
foggy-crowd,14,1000m,1000m,2.0Gi,2Gi,add
investor-watt,9,1000m,1000m,2.0Gi,2Gi,add
figurative-hamburger,14,1000m,1000m,2.0Gi,2Gi,add
lower-oasis,7,1000m,1000m,2.0Gi,2Gi,add
tangy-payment,10,1000m,1000m,2.0Gi,2Gi,add
plum-union,14,1000m,1000m,2.0Gi,2Gi,add
bitter-palisade,6,1000m,1000m,2.0Gi,2Gi,add
stale-event,13,1000m,1000m,2.0Gi,2Gi,add
radiant-ball,15,1000m,1000m,2.0Gi,2Gi,add
trusting-siege,9,1000m,1000m,2.0Gi,2Gi,add
bordeaux-radio,12,1000m,1000m,2.0Gi,2Gi,add
simple-vial,7,1000m,1000m,2.0Gi,2Gi,add
crispy-sardine,12,1000m,1000m,2.0Gi,2Gi,add
cloudy-burgundy,11,1000m,1000m,2.0Gi,2Gi,add
cream-gunwale,10,1000m,1000m,2.0Gi,2Gi,add
global-dialogue,6,1000m,1000m,2.0Gi,2Gi,add
absolute-client,5,1000m,1000m,2.0Gi,2Gi,add
closed-dioptre,10,1000m,1000m,2.0Gi,2Gi,add
big-cleat,8,1000m,1000m,2.0Gi,2Gi,add
linear-shape,13,1000m,1000m,2.0Gi,2Gi,add
noisy-submodule,12,1000m,1000m,2.0Gi,2Gi,add
prompt-session,15,1000m,1000m,2.0Gi,2Gi,add
